0.0 924460.625396
0.02 929660.439719
0.04 934441.860703
0.06 936317.078242
0.08 939629.30463
0.1 942541.630097
0.12 943893.406149
0.14 945341.794742
0.16 948471.412691
0.18 948269.189088
0.2 952859.800665
0.22 948342.295649
0.24 943420.223009
0.26 938806.515219
0.28 929567.76828
0.3 925395.72797
0.32 927535.802886
0.34 932277.268302
0.36 931992.021249
0.38 938190.932396
0.4 945182.153854
0.42 947432.690737
0.44 948255.070941
0.46 951938.149599
0.48 954390.036788
0.5 957400.149707
0.52 961444.83089
0.54 959391.315963
0.56 960840.498258
0.58 959059.809451
0.6 953750.395953
0.62 949155.543219
0.64 948929.146953
0.66 950722.565818
0.68 948883.874836

