0.0 811357.979783
0.01 812189.550956
0.02 814208.477187
0.03 815204.941955
0.04 815884.91462
0.05 816711.772607
0.06 813156.584556
0.07 812504.238841
0.08 810737.626061
0.09 808681.085129
0.1 808939.275669
0.11 809416.153382
0.12 813219.379064
0.13 813587.993304
0.14 814475.885087
0.15 816388.176894
0.16 816177.937484
0.17 815601.172859
0.18 813872.774261
0.19 811355.851255
0.2 805703.122878
0.21 805329.101556
0.22 804214.964279
0.23 805645.841746
0.24 808233.021211
0.25 810325.380103
0.26 810923.379784
0.27 812453.299475
0.28 813876.869279
0.29 813085.403556
0.3 817536.554642
0.31 815220.639491
0.32 813240.782268
0.33 810182.200842
0.34 808808.980515
0.35 806080.187115
0.36 805223.148502
0.37 805519.766857
0.38 807025.898364
0.39 806152.552946
0.4 808780.194246
0.41 807322.031492
0.42 809901.103132
0.43 810626.310638
0.44 810797.588584
0.45 809258.135313
0.46 808430.249037
0.47 805730.211186
0.48 805316.670617
0.49 805405.614617
0.5 806805.06668
0.51 809682.045951
0.52 812645.101774
0.53 816041.202991
0.54 815439.387635
0.55 814720.793865
0.56 813248.083045
0.57 813376.676408
0.58 811696.298703
0.59 809034.064232
0.6 806942.806518
0.61 807098.067337
0.62 807728.563877
0.63 809027.649841
0.64 810439.58994
0.65 812468.395562
0.66 813870.947625
0.67 815340.844884
0.68 816308.284873
0.69 816150.434959
0.7 814219.876611
