0 184281.691829
1 184439.268992
2 183508.33039
3 184476.566708
4 184543.874039
5 184670.584175
6 184416.40362
7 185281.72917
8 184466.469115
9 184177.769602
10 185033.329134
11 185393.456059
12 185033.103853
13 185570.643151
14 185333.898917
15 185665.485663
16 185889.793429
17 185229.744126
18 185453.040429
19 186044.070907
20 186135.086429
21 185485.609394
22 185266.047966
23 185843.042034
24 185451.163449
25 184891.467924
26 185650.995869
27 185266.259274
28 184689.876613
29 185499.174031
30 184519.019972
31 184888.833431
32 183861.170643
33 184393.317745
34 185358.867742
35 184750.176178
36 185425.207178
37 184943.128587
38 183862.060647
39 184951.997187
40 184249.48177
41 184231.576181
42 184250.419066
43 183267.545781
44 183721.338209
45 185076.937167
46 184341.737594
47 184846.860503
48 184211.41349
49 182801.386426
50 183841.994305
51 183984.11594
52 183817.367438
53 184088.891653
54 183740.536565
55 184268.493979
56 183626.060684
57 184089.830396
58 183000.34932
59 183309.061921
60 184115.993476
61 184710.132001
62 184089.311444
63 183988.708444
64 183829.313069
65 183375.258424
66 183551.730951
67 183621.578181
68 183721.032952
69 183337.303894
70 182929.46307
71 182959.318427
72 184396.223834
73 183259.115102
74 182635.762149
75 182364.467435
76 183482.280979
77 183856.542709
78 183407.809949
79 183598.174343
80 183452.863034
81 184282.749998
82 182412.847835
83 183071.903053
84 175918.369742
85 182263.6513
86 183510.349675
87 183779.000733
88 183066.590807
89 183134.163618
90 183036.289309
91 183242.757462
92 184030.108657
93 183455.111182
94 183177.225484
95 184458.328087
96 183531.527489
97 183839.788179
98 184817.833832
99 183337.123922

